diff_infos,new_price,old_price,nr_of_reviews,rating,availability
"Laptop Dell Inspiron 3576 cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, DVD-RW, AMD Radeon 520 2GB, Ubuntu, Black",1.74999 Lei,"2.29999 Lei(-23%)
                ",8 review-uri,width: 90%,în stoc
"Laptop ASUS S531FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Moss Green",2.79999 Lei,"3.39999 Lei(-17%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS VivoBook 15 X540MA-GO145 cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel® UHD Graphics 600, Endless OS, Chocolate Black",1.07100 Lei,"1.42800 Lei(-25%)
                ",18 review-uri,width: 88.8%,în stoc
"Laptop Lenovo V310-15IKB cu procesor Intel® Core™ i5-7200U 2.50 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, DVD-RW, AMD Radeon 530 2GB, Free DOS, Black",2.08499 Lei,"2.97381 Lei(-29%)
                ",6 review-uri,width: 96.6%,în stoc
"Laptop Lenovo IdeaPad S145-15IWL, Intel® Pentium® Gold 5405U, 4GB DDR4, HDD 1TB, Intel® UHD Graphics, Free DOS",1.22999 Lei,"1.49999 Lei(-18%)
                ",0 review-uri,width: 0%,în stoc
"Laptop 2 in 1 Dell XPS 13 9365 cu procesor Intel® Core™ i5-8200Y pana la 3.90 GHz, Amber Lake Y, 13.3"", Full HD, Touch InfinityEdge, 8GB, 256GB SSD, Intel® UHD Graphics 615, Microsoft Windows 10 Pro, Silver",7.99999 Lei,"9.29999 Lei(-14%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil Acer Swift 3 SF314-56-56X3 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 14"", Full HD, IPS, 8GB, 256GB SSD, Intel UHD Graphics 620, Microsoft Windows 10, Silver",3.72240 Lei,,1 review,width: 100%,în stoc
"Laptop ultraportabil ASUS ZenBook Pro 15 UX580GE cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", UHD, Touch, 16GB, 512GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Microsoft Windows 10 Pro, Deep Dive Blue",8.51999 Lei,"9.89999 Lei(-13%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Gaming Dell G5 15 5587 cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, 8GB, 1TB HDD + 128GB SSD, NVIDIA GeForce GTX 1050Ti 4GB, Microsoft Windows 10, Black",5.29999 Lei,"5.99999 Lei(-11%)
                ",1 review,width: 60%,ultimul produs in stoc
"Laptop Dell XPS 13 7390 cu procesor Intel® Core™ i7-10510U (pana la 4.9 GHz), Comet Lake™, 13.3"", UHD InfinityEdge, Touchscreen, 16GB, 512GB SSD, Intel UHD Graphics, Windows 10 Pro, FPR, Silver",11.32900 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Gaming Acer Predator PH317-52-70QK cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 17.3"", Full HD, IPS, 8GB, 256GB SSD, NVIDIA GeForce GTX 1060 6GB, Linux, Black",4.59999 Lei,"4.99999 Lei(-8%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ASUS X512FA cu procesor Intel® Core™ i3-8145U pana la 3.9 GHz, 15.6"", Full HD, 4GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Coral Crush",2.13843 Lei,"3.33200 Lei(-35%)
                ",0 review-uri,width: 0%,în stoc
"Laptop MYRIA MY8305GD, Intel® Celeron® N3350 pana la 2.4GHz, 13.3"", 4GB, eMMC 32GB, Intel® HD Graphics 500, Windows 10 Home",1.29829 Lei,"1.42681 Lei(-9%)
                ",14 review-uri,width: 61.4%,ultimul produs in stoc
"Laptop Lenovo Thinkpad L480 cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 14"", Full HD, IPS, 16GB, 512GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",6.49999 Lei,"7.19999 Lei(-9%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming Lenovo Legion Y740-15IRHg cu procesor Intel Core i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 16GB, 1TB HDD + 512GB SSD, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free DOS, Black",10.39999 Lei,"11.29999 Lei(-8%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil HP ENVY 13-ah1005nn cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 13.3"", Full HD, IPS, 8GB, 256GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10, Silver",4.49999 Lei,"4.79999 Lei(-6%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil Asus ZenBook Pro 15 UX580GE-E2032R, Intel® Core™ i9-8950HK, 16GB DDR4, SSD 1TB, nVIDIA GeForce GTX 1050 Ti 4GB, Windows 10 Pro",11.49999 Lei,"13.49999 Lei(-14%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Asus Gaming 15"" X571GD-AL322, Intel Core I5-8300, 8GB DDR4, SSD512GB, nVidia GeForce 1050 2GB",3.49900 Lei,"4.75881 Lei(-26%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop gaming Lenovo Legion Y740 cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, 32GB, 512GB SSD + 1TB HDD, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free DOS, Black",11.99999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil HP ProBook 430 G5 cu procesor Intel® Core™ i3-7100U 2.40 GHz, Kaby Lake™, 13.3"", Full HD, 4GB, 128GB SSD, Intel® HD Graphics, FPR, Free DOS, Silver",2.29999 Lei,"2.84999 Lei(-19%)
                ",1 review,width: 100%,ultimul produs in stoc
"Laptop Lenovo IdeaPad 130-15IKB cu procesor Intel® Core™ i3-6006U 2.00 GHz, Skylake, 15.6"", 4GB, 1TB, Intel® HD Graphics 520, Free DOS, Black",1.49999 Lei,"1.79999 Lei(-16%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Lenovo V330-15IKB, Intel Core i7-8550U, 15.6inch, RAM 12GB, SSD 512GB, Intel HD Graphics 620, Free Dos, Iron Grey",3.17730 Lei,"4.40181 Lei(-27%)
                ",2 review-uri,width: 100%,în stoc
"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel Celeron 4205U 1.8 GHz, 15.6"", HD, 4GB, 256 SSD M.2, Intel UHD Graphics 610, Free DOS, Grey",1.22600 Lei,"1.74500 Lei(-29%)
                ",6 review-uri,width: 100%,livrare in 4 zile
"Laptop ultraportabil Lenovo ThinkPad X1 Carbon 6th cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",8.79999 Lei,"10.09999 Lei(-12%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Dell Inspiron 15.6"" HD Anti-Glare, Pentium Silver N5000, 4GB DDR4 2666Mhz, 1TB 5400rpm SATA,DVD+/-RW, Intel(R) UHD Graphics 605, Ubuntu",1.29999 Lei,"1.49999 Lei(-13%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil HP ProBook 440 G6 cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, Whiskey Lake, 14"", 4GB, 128GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Silver",2.59999 Lei,"3.29999 Lei(-21%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ASUS X512UF cu procesor Intel® Core™ i5-8250U pana la 3.4 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, NVIDIA GeForce MX130, Endless OS, Slate Gray",3.29999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 4GB, 1TB, Intel® UHD Graphics 620, Free DOS, Silver",2.19999 Lei,"2.74999 Lei(-20%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil HP Pavilion Laptop 14-ce2005nq cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 14"", Full HD, IPS, 8GB, 1TB + 128GB SSD, NVIDIA® GeForce® MX130 2GB, Microsoft Windows 10, Silver",4.99998 Lei,,0 review-uri,width: 0%,în stoc
"Laptop Asus X412FA-EB247, Intel® Core™ i3-8145U, 4GB DDR4, SSD 256GB, Intel® UHD Graphics, Endless OS",2.04999 Lei,"2.49999 Lei(-18%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming MSI GE73 Raider 8RF RGB Edition cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 17.3"", Full HD, 120Hz, 16GB, 1TB + 256GB SSD, NVIDIA GeForce GTX 1070 8GB, Microsoft Windows 10, Black",8.79999 Lei,"12.09999 Lei(-27%)
                ",1 review,width: 100%,ultimul produs in stoc
"Laptop ASUS VivoBook 15 X540UA cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Endless OS, Chocolate Black",2.34999 Lei,"2.89999 Lei(-19%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil Lenovo IdeaPad 330S-14IKB cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 14"", Full HD, IPS, 8GB, 512GB SSD, Intel® HD Graphics 620, Free DOS, Mid Night Blue",2.29999 Lei,"2.69999 Lei(-14%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS S531FA cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Gun Metal",3.39998 Lei,,0 review-uri,width: 0%,în stoc
"Laptop 2 in 1 Lenovo YOGA 730-15IKB cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 15.6"", Full HD, IPS, Touch, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 4GB, Microsoft Windows 10, Iron Grey, Bluetooth Active Pen",7.59999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Lenovo V130-15IKB cu procesor Intel® Core™ i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", Full HD, 8GB, 256GB SSD, Radeon 530 2GB, Free DOS, Iron Grey",2.79999 Lei,"3.49999 Lei(-20%)
                ",7 review-uri,width: 88.6%,ultimul produs in stoc
"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel® Core™ i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB + 128GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",4.99999 Lei,,4 review-uri,width: 100%,ultimul produs in stoc
"Laptop ultraportabil Lenovo ThinkPad T490 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 14"", Full HD, IPS, 8GB, 256GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",6.19999 Lei,"6.89999 Lei(-10%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ASUS 15.6'' X509FJ, FHD, Procesor Intel® Core™ i5-8265U (6M Cache, up to 3.90 GHz), 8GB DDR4, 1TB, GeForce MX230 2GB, Endless OS, Grey",2.73105 Lei,"3.86750 Lei(-29%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS S531FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Transparent silver metal",2.79999 Lei,"3.39999 Lei(-17%)
                ",0 review-uri,width: 0%,în stoc
"Laptop gaming Lenovo Legion Y540 cu procesor Intel® Core i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 16GB, 1TB SSD, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",7.19999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop 2 in 1 Dell Inspiron 7580 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 1TB + 128GB SSD, NVIDIA GeForce MX250 2GB, Microsoft Windows 10, Silver",4.39999 Lei,"4.69999 Lei(-6%)
                ",0 review-uri,width: 0%,în stoc
"Laptop Gaming HP Pavilion 15-ec0001nq cu procesor AMD Ryzen 5 3550H pana la 3.70 GHz, 15.6"", Full HD, 8GB, 256GB SSD, Nvidia GeForce GTX 1050 3GB, Free DOS, Shadow Black",3.49999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop LENOVO Thinkpad x240, Procesor Intel Core i5 1.90GHz - Turbo 2.90Ghz, 8GB DDR3, 320GB HDD, 12.5 inch",1.59900 Lei,"1.84212 Lei(-13%)
                ",0 review-uri,width: 0%,livrare in 3 zile
"Laptop ASUS X542UF-DM167 cu procesor Intel® Core™ i7-8550U pana la 4.00 GHz, Kaby Lake R, 15.6"", Full HD, 4GB, 1TB, DVD-RW, NVIDIA GeForce MX130 2GB, Endless OS, Matt Silver",2.89999 Lei,"3.09900 Lei(-6%)
                ",3 review-uri,width: 33.4%,în stoc
"Laptop Apple MacBook Pro 15, ecran Retina, Touch Bar, procesor Intel® Core™ i7 2.60 GHz, 16GB, 512GB SSD, Radeon Pro 560X W 4GB, macOS High Sierra, ROM KB, Space Grey",16.06500 Lei,16.33870 Lei,4 review-uri,width: 95%,ultimul produs in stoc
"Laptop DELL Precision 7730 FHD IPS, 17.3"" UltraSharp, Intel Core i7-8750H, 16GB DDR4 2666 MHz, 512GB SSD, nVidia Quadro P4200 8GB, Windows 10 Pro, Black",14.63700 Lei,"19.90000 Lei(-26%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil ASUS S410UA-EB681 cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 14"", Full HD, 4GB, 1TB, Intel® UHD Graphics 620, Endless OS, Grey",2.29900 Lei,"3.29899 Lei(-30%)
                ",0 review-uri,width: 0%,în stoc
"Laptop MYRIA MY8311RD, Intel® Celeron® N4000 pana la 2.4GHz, 13.3"" Full HD IPS, 4GB, 32GB eMMC, Intel® HD Graphics 600, Windows 10 Home",99841 Lei,"1.18881 Lei(-16%)
                ",8 review-uri,width: 85%,livrare in 4 zile
"Laptop HP 15-dw0000nq cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz Whiskey Lake, 15.6"", HD, 8GB, 256GB SSD, Intel® UHD Graphics, Free DOS, Natural Silver",2.29999 Lei,"2.79999 Lei(-17%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ASUS X507UA cu procesor Intel® Core™ i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, Intel HD Graphics 620, Endless OS, Star Grey",1.41899 Lei,,1 review,width: 20%,în stoc
"Ultrabook KRUGER&MATZ , intel Dual-Core , 4 GB RAM , IPS Full HD , sistem operare Windows 10 , Negru .",1.25000 Lei,"2.00000 Lei(-37%)
                ",2 review-uri,width: 70%,ultimul produs in stoc
"Laptop Gaming MSI GS65 Stealth cu procesor Intel® Core™ i7-8750H pana la 4.1 GHz, 15.6"" Full HD, 144Hz, 16GB, 512GB SSD M.2, NVIDIA GeForce RTX 2070 8GB, Microsoft Windows 10 Home, Black",9.19999 Lei,"11.99999 Lei(-23%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop 2 in 1 Lenovo ThinkPad L380 Yoga cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 13.3"", Full HD, IPS, Touch, 8GB, 256GB M.2 SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Black",5.23999 Lei,"5.89999 Lei(-11%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil Lenovo Yoga S730-13IWL cu procesor Intel® Core™ i5-8265U pana la 3.9 GHz, 13.3"", Full HD, 16GB, 1TB SSD M.2, Intel UHD Graphics 620, Windows 10 Home, Platinum",4.99999 Lei,"6.19999 Lei(-19%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Gaming OMEN by HP 15-dh0001nq cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 16GB, 512GB SSD, Nvidia GeForce RTX 2060 6GB, Free DOS, Shadow Black",7.49999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ultraportabil Lenovo V330-14ARR cu procesor AMD Ryzen™ 5 2500U pana la 3.60 GHz, 14"", Full HD, 8GB, 256GB SSD, Radeon™ Vega 8 Graphics, Microsoft Windows 10 Pro, Iron Gray",2.79999 Lei,"3.49999 Lei(-20%)
                ",0 review-uri,width: 0%,în stoc
"Laptop ultraportabil Lenovo New ThinkPad X1 Carbon 5th gen cu procesor Intel® Core™ i7-7500U pana la 3.50 GHz, Kaby Lake, 14”, WQHD, IPS, 16GB, 1TB SSD, Intel HD Graphics 620, 4G LTE, Microsoft Windows 10 Pro, Black",9.99999 Lei,"13.69999 Lei(-27%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ASUS VivoBook S15 S530FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics 620, Endless OS, Star Gray Metal",3.19999 Lei,,2 review-uri,width: 100%,ultimul produs in stoc
"Laptop Gaming HP Pavilion 15-dk0021nq, Intel® Core™ i7-9750H, 8GB DDR4, SSD 512GB, NVIDIA GeForce GTX1660Ti 6GB, Free DOS",5.59999 Lei,"6.59999 Lei(-15%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Lenovo IdeaPad 330-17IKBR, Intel® Core™ i5-7200U, 4GB DDR4, HDD 1TB, nVIDIA GeForce MX130 2GB, Free DOS",2.49999 Lei,"2.99999 Lei(-16%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 15.6"", Full HD, 16GB, 1TB + 256GB SSD, NVIDIA GeForce MX130 2GB, Free DOS, Silver",3.22100 Lei,"4.36600 Lei(-26%)
                ",2 review-uri,width: 90%,livrare in 4 zile
"Laptop ASUS X509FA-EJ252, Intel Core i3-8145U, 15.6inch, RAM 4GB, SSD 256GB, Intel UHD Graphics 620, Endless OS, Transparent Silver",1.74999 Lei,"1.99999 Lei(-12%)
                ",0 review-uri,width: 0%,în stoc
"Laptop 2 in 1 Dell Inspiron 14 5482 cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 14"", Full HD, Touch, 8GB + 16GB Intel® Optane™, 1TB, Intel® UHD Graphics 620, Microsoft Windows 10, Silver",4.19999 Lei,"4.59999 Lei(-8%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
"Laptop ASUS S510UA-BQ482 cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 1TB + 128GB SSD, Intel® UHD Graphics 620, Endless Os, Gold",2.84899 Lei,,2 review-uri,width: 80%,ultimul produs in stoc
"Laptop Apple MacBook 12, ecran Retina, procesor Intel® Core™ M3 1.20 GHz, 8GB, 256GB SSD, Intel HD Graphics 615, macOS, ROM KB, Gold",6.59999 Lei,"7.29999 Lei(-9%)
                ",0 review-uri,width: 0%,în stoc
"Ultrabook Dell XPS 13 9370 cu procesor Intel® Core™ i5-8250U pana la 3.40 GHz, Kaby Lake R, 13.3"", Full HD, 8GB, 256GB SSD, Intel® UHD Graphics 620, Microsoft Windows 10 Pro, Rose Gold",9.69999 Lei,,0 review-uri,width: 0%,ultimul produs in stoc
"Laptop Gaming Dell Inspiron 7790 G7 cu procesor Intel® Core i5-9300H pana la 4.1 GHz, 17.3"" Full HD, 8GB, 128GB SSD M.2 + 1TB HDD, NVIDIA GeForce RTX 2060 6GB, Windows 10, Abyss Grey",8.49999 Lei,"9.69999 Lei(-12%)
                ",1 review,width: 100%,ultimul produs in stoc
"Laptop Gaming Dell Inspiron 5590 G5 cu procesor Intel® Core™ i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, 8GB, 1TB + 128GB SSD, NVIDIA GeForce RTX 2060 6GB, Microsoft Windows 10, Black",7.49999 Lei,"8.79999 Lei(-14%)
                ",0 review-uri,width: 0%,ultimul produs in stoc
